investor_id,num_sips,avg_gap_days,max_gap_days,at_risk
INV000527,6,50.8,116.0,True
INV000529,6,59.2,110.0,True
INV000531,7,47.0,82.0,True
INV000539,7,77.0,153.0,True
INV000540,7,73.5,123.0,True
INV000543,7,83.7,218.0,True
INV000545,6,80.6,181.0,True
INV000546,9,55.0,154.0,True
INV000547,6,55.8,140.0,True
INV000549,6,96.2,146.0,True
INV000553,6,72.0,172.0,True
INV000554,6,70.2,171.0,True
INV000556,8,52.4,156.0,True
INV000562,6,74.4,197.0,True
INV000563,7,76.3,198.0,True
INV000566,7,35.0,119.0,True
INV000567,6,63.8,166.0,True
INV000568,6,62.4,180.0,True
INV000570,8,67.3,186.0,True
INV000573,7,50.8,154.0,True
INV000575,6,71.6,155.0,True
INV000578,7,66.8,164.0,True
INV000581,7,78.3,160.0,True
INV000586,7,44.5,111.0,True
INV000589,9,59.1,90.0,True
INV000591,7,64.5,112.0,True
INV000593,6,74.2,179.0,True
INV000596,9,51.8,140.0,True
INV000597,6,88.6,198.0,True
INV000599,7,81.5,171.0,True
INV000607,7,66.7,209.0,True
INV000608,6,100.2,324.0,True
INV000609,6,47.0,87.0,True
INV000612,11,49.3,169.0,True
INV000615,7,55.8,139.0,True
INV000624,7,31.7,53.0,True
INV000625,6,86.4,134.0,True
INV000630,7,68.7,161.0,True
INV000631,6,54.0,145.0,True
INV000634,9,52.2,147.0,True
INV000635,6,75.0,240.0,True
INV000641,6,54.8,126.0,True
INV000642,9,53.5,139.0,True
INV000645,6,66.0,127.0,True
INV000646,7,62.3,138.0,True
INV000651,6,94.0,304.0,True
INV000652,6,93.8,262.0,True
INV000657,8,64.7,106.0,True
INV000662,8,66.1,185.0,True
INV000663,6,94.4,247.0,True
INV000665,10,36.2,148.0,True
INV000667,6,68.0,134.0,True
INV000673,6,92.8,235.0,True
INV000675,6,62.8,155.0,True
INV000676,11,35.3,106.0,True
INV000678,7,63.3,140.0,True
INV000683,9,54.5,137.0,True
INV000690,8,56.3,134.0,True
INV000691,6,66.4,163.0,True
INV000698,9,52.2,219.0,True
INV000699,6,42.8,147.0,True
INV000701,7,83.7,298.0,True
INV000707,9,34.4,106.0,True
INV000709,7,65.2,128.0,True
INV000710,6,88.6,264.0,True
INV000714,9,37.0,95.0,True
INV000718,7,57.8,118.0,True
INV000719,7,72.8,185.0,True
INV000724,6,81.2,227.0,True
INV000725,7,67.7,92.0,True
INV000734,8,64.0,180.0,True
INV000737,6,92.6,168.0,True
INV000747,6,84.6,205.0,True
INV000750,9,26.5,84.0,True
INV000751,9,53.0,193.0,True
INV000754,7,72.3,103.0,True
INV000759,7,83.0,156.0,True
INV000761,7,75.2,173.0,True
INV000768,8,60.0,124.0,True
INV000772,6,46.0,81.0,True
INV000774,7,73.7,169.0,True
INV000776,8,59.4,116.0,True
INV000777,6,66.0,121.0,True
INV000778,8,59.7,182.0,True
INV000779,6,75.0,153.0,True
INV000783,6,89.8,187.0,True
INV000785,6,32.6,66.0,True
INV000786,9,64.1,199.0,True
INV000789,8,55.1,225.0,True
INV000793,8,69.1,149.0,True
INV000803,7,77.2,147.0,True
INV000814,6,94.0,195.0,True
INV000822,7,55.5,141.0,True
INV000823,7,39.7,69.0,True
INV000827,8,58.3,122.0,True
INV000830,6,72.2,165.0,True
INV000833,8,67.3,182.0,True
INV000836,6,84.8,123.0,True
INV000843,6,55.6,102.0,True
INV000844,7,66.2,151.0,True
INV000847,6,47.8,75.0,True
INV000853,10,49.3,193.0,True
INV000854,9,61.2,170.0,True
INV000858,9,44.9,157.0,True
INV000862,6,91.2,372.0,True
INV000864,6,40.8,106.0,True
INV000865,9,45.8,99.0,True
INV000869,6,65.4,100.0,True
INV000873,7,73.5,299.0,True
INV000874,9,62.1,149.0,True
INV000877,6,59.4,159.0,True
INV000881,10,46.1,155.0,True
INV000887,7,65.7,268.0,True
INV000888,7,80.3,166.0,True
INV000893,7,59.5,147.0,True
INV000894,6,55.0,105.0,True
INV000901,6,54.0,95.0,True
INV000907,6,59.2,139.0,True
INV000920,6,75.6,220.0,True
INV000926,6,80.0,111.0,True
INV000929,7,58.2,116.0,True
INV000930,8,32.4,118.0,True
INV000935,9,30.9,73.0,True
INV000939,8,60.6,154.0,True
INV000942,7,53.0,92.0,True
INV000949,7,67.5,135.0,True
INV000950,6,91.0,215.0,True
INV000971,7,46.8,139.0,True
INV000974,7,73.5,143.0,True
INV000977,10,48.8,147.0,True
INV000979,6,79.8,115.0,True
INV000980,8,44.4,121.0,True
INV000981,6,50.4,104.0,True
INV000986,7,60.8,182.0,True
INV000994,6,63.8,167.0,True
INV001001,8,60.3,137.0,True
INV001002,7,41.7,85.0,True
INV001005,6,93.6,206.0,True
INV001008,7,64.7,191.0,True
INV001013,6,96.8,164.0,True
INV001017,6,67.0,142.0,True
INV001019,9,44.9,180.0,True
INV001021,7,68.7,186.0,True
INV001023,8,72.4,202.0,True
INV001025,6,38.8,76.0,True
INV001026,6,69.4,132.0,True
INV001037,10,42.0,86.0,True
INV001039,6,66.2,187.0,True
INV001041,7,83.0,195.0,True
INV001047,7,66.2,142.0,True
INV001048,8,47.0,84.0,True
INV001051,8,54.1,139.0,True
INV001053,8,55.9,116.0,True
INV001055,6,93.2,177.0,True
INV001060,9,53.4,89.0,True
INV001061,9,51.1,141.0,True
INV001063,8,43.3,120.0,True
INV001064,9,59.5,160.0,True
INV001069,8,41.3,98.0,True
INV001070,6,97.0,329.0,True
INV001092,7,77.3,186.0,True
INV001099,8,26.1,63.0,True
INV001102,7,55.3,87.0,True
INV001115,6,81.4,290.0,True
INV001116,9,58.1,194.0,True
INV001117,8,61.7,137.0,True
INV001130,7,76.8,131.0,True
INV001137,7,57.0,120.0,True
INV001140,6,60.4,125.0,True
INV001141,6,97.6,132.0,True
INV001142,7,42.8,106.0,True
INV001156,6,102.4,175.0,True
INV001160,8,57.6,99.0,True
INV001161,6,80.6,159.0,True
INV001163,7,67.3,255.0,True
INV001167,6,96.2,207.0,True
INV001170,6,68.2,119.0,True
INV001173,6,67.0,146.0,True
INV001178,7,79.7,140.0,True
INV001180,6,74.4,198.0,True
INV001181,8,67.4,163.0,True
INV001190,6,97.0,198.0,True
INV001195,8,53.4,167.0,True
INV001196,6,92.2,169.0,True
INV001202,8,58.0,103.0,True
INV001206,6,83.6,190.0,True
INV001208,7,51.8,107.0,True
INV001210,9,36.9,93.0,True
INV001217,8,60.1,205.0,True
INV001219,8,50.9,118.0,True
INV001220,7,77.2,104.0,True
INV001223,7,70.8,175.0,True
INV001234,8,60.6,119.0,True
INV001235,9,59.0,161.0,True
INV001237,6,98.0,182.0,True
INV001238,7,68.5,220.0,True
INV001242,6,69.8,128.0,True
INV001251,6,82.0,223.0,True
INV001262,7,44.8,116.0,True
INV001274,7,73.3,161.0,True
INV001275,7,66.7,140.0,True
INV001282,6,67.0,196.0,True
INV001287,6,92.2,157.0,True
INV001288,7,45.7,148.0,True
INV001291,6,76.2,181.0,True
INV001295,9,50.8,165.0,True
INV001298,7,71.8,158.0,True
INV001299,9,51.2,121.0,True
INV001304,6,97.6,177.0,True
INV001308,9,54.6,147.0,True
INV001310,6,81.2,232.0,True
INV001314,10,50.4,130.0,True
INV001315,7,51.8,124.0,True
INV001316,6,92.4,198.0,True
INV001317,6,84.8,162.0,True
INV001318,10,46.2,150.0,True
INV001326,8,69.4,182.0,True
INV001329,6,68.2,97.0,True
INV001331,6,94.2,202.0,True
INV001332,7,80.0,179.0,True
INV001333,7,78.7,185.0,True
INV001336,8,65.9,198.0,True
INV001348,7,47.8,121.0,True
INV001351,7,70.5,208.0,True
INV001355,6,60.2,187.0,True
INV001356,6,79.2,191.0,True
INV001359,7,72.5,313.0,True
INV001361,7,50.5,103.0,True
INV001367,6,99.0,222.0,True
INV001375,7,78.5,176.0,True
INV001376,7,78.7,181.0,True
INV001383,8,56.1,117.0,True
INV001387,9,57.2,130.0,True
INV001394,8,63.6,171.0,True
INV001400,6,76.8,266.0,True
INV001401,6,68.6,197.0,True
INV001406,10,47.7,202.0,True
INV001407,6,45.2,141.0,True
INV001415,8,68.1,173.0,True
INV001418,6,88.6,187.0,True
INV001419,6,85.8,137.0,True
INV001423,8,48.6,105.0,True
INV001428,6,79.4,174.0,True
INV001432,6,71.4,175.0,True
INV001434,6,80.6,178.0,True
INV001442,9,57.1,238.0,True
INV001454,7,73.0,176.0,True
INV001455,8,64.7,153.0,True
INV001457,6,43.8,63.0,True
INV001458,7,59.8,101.0,True
INV001466,6,44.6,82.0,True
INV001472,6,79.0,141.0,True
INV001482,6,80.6,280.0,True
INV001485,9,55.0,150.0,True
INV001491,6,98.8,260.0,True
INV001497,9,63.0,138.0,True
INV001504,9,54.2,134.0,True
INV001507,6,86.2,167.0,True
INV001510,7,66.8,124.0,True
INV001514,7,51.8,72.0,True
INV001516,6,56.8,85.0,True
INV001526,6,50.4,134.0,True
INV001530,7,64.7,122.0,True
INV001532,7,56.8,101.0,True
INV001536,7,69.0,189.0,True
INV001545,6,92.8,208.0,True
INV001547,7,72.2,119.0,True
INV001548,6,80.6,197.0,True
INV001550,7,79.0,191.0,True
INV001551,6,61.8,131.0,True
INV001562,10,44.2,146.0,True
INV001564,8,55.7,157.0,True
INV001569,6,83.4,314.0,True
INV001579,7,75.0,193.0,True
INV001580,7,45.7,119.0,True
INV001585,6,56.6,182.0,True
INV001587,7,65.0,144.0,True
INV001597,7,56.0,165.0,True
INV001599,6,58.2,133.0,True
INV001602,6,93.8,294.0,True
INV001603,7,54.5,93.0,True
INV001605,8,60.6,136.0,True
INV001606,7,67.7,148.0,True
INV001616,9,53.0,117.0,True
INV001623,6,92.0,188.0,True
INV001625,6,72.0,209.0,True
INV001628,8,51.7,139.0,True
INV001629,7,67.5,82.0,True
INV001631,6,57.0,101.0,True
INV001636,9,48.9,159.0,True
INV001641,6,88.4,168.0,True
INV001644,6,65.6,89.0,True
INV001645,6,67.6,202.0,True
INV001649,10,51.7,120.0,True
INV001651,7,78.7,130.0,True
INV001653,6,55.2,94.0,True
INV001654,7,56.0,137.0,True
INV001656,8,59.9,246.0,True
INV001662,6,60.2,147.0,True
INV001672,9,34.0,130.0,True
INV001673,11,49.3,181.0,True
INV001680,9,58.9,200.0,True
INV001683,7,72.5,186.0,True
INV001689,6,83.6,153.0,True
INV001690,7,81.2,114.0,True
INV001691,6,82.0,254.0,True
INV001694,8,66.1,144.0,True
INV001697,9,62.5,287.0,True
INV001699,6,83.2,183.0,True
INV001709,6,51.8,84.0,True
INV001711,7,65.8,189.0,True
INV001712,6,66.6,144.0,True
INV001715,8,68.3,188.0,True
INV001718,6,84.0,237.0,True
INV001724,7,69.7,134.0,True
INV001728,8,50.6,131.0,True
INV001737,7,56.8,191.0,True
INV001738,9,47.5,153.0,True
INV001739,9,52.5,96.0,True
INV001741,6,89.4,260.0,True
INV001744,7,78.5,155.0,True
INV001752,7,69.3,170.0,True
INV001753,11,42.8,128.0,True
INV001757,8,55.6,121.0,True
INV001759,10,49.6,126.0,True
INV001769,6,98.0,166.0,True
INV001772,6,95.0,184.0,True
INV001775,8,29.1,65.0,True
INV001777,9,57.6,156.0,True
INV001778,8,63.6,283.0,True
INV001797,7,79.7,132.0,True
INV001800,7,49.7,132.0,True
INV001802,7,61.7,151.0,True
INV001803,6,59.0,127.0,True
INV001804,8,55.9,126.0,True
INV001806,8,60.0,209.0,True
INV001809,6,95.6,249.0,True
INV001811,9,54.2,196.0,True
INV001822,6,19.8,43.0,True
INV001823,8,58.1,172.0,True
INV001826,6,51.2,128.0,True
INV001828,8,44.4,91.0,True
INV001831,6,72.8,181.0,True
INV001837,7,62.8,157.0,True
INV001841,6,56.2,129.0,True
INV001853,8,47.4,95.0,True
INV001858,8,55.1,261.0,True
INV001865,7,63.5,145.0,True
INV001866,6,58.8,117.0,True
INV001870,7,76.0,164.0,True
INV001871,7,55.0,101.0,True
INV001883,6,99.2,203.0,True
INV001885,6,71.2,128.0,True
INV001886,9,50.8,129.0,True
INV001890,6,102.6,207.0,True
INV001891,6,96.4,261.0,True
INV001909,8,62.1,121.0,True
INV001912,6,86.4,256.0,True
INV001920,7,39.0,76.0,True
INV001921,8,68.6,225.0,True
INV001923,7,80.7,106.0,True
INV001924,7,59.2,119.0,True
INV001927,6,58.8,91.0,True
INV001929,6,66.2,242.0,True
INV001937,8,60.4,253.0,True
INV001938,9,43.0,112.0,True
INV001943,6,74.4,171.0,True
INV001950,7,60.2,134.0,True
INV001951,7,58.8,124.0,True
INV001954,6,86.8,273.0,True
INV001955,6,76.0,199.0,True
INV001961,6,83.4,234.0,True
INV001969,6,79.2,163.0,True
INV001971,8,54.7,87.0,True
INV001972,8,42.4,153.0,True
INV001978,6,83.2,112.0,True
INV001979,6,55.4,100.0,True
INV001982,6,85.8,289.0,True
INV001986,7,47.7,98.0,True
INV001987,7,67.0,241.0,True
INV001990,8,45.3,91.0,True
INV001993,6,56.6,147.0,True
INV001995,6,48.6,94.0,True
INV001997,6,88.6,168.0,True
INV002001,6,84.8,335.0,True
INV002006,6,73.6,157.0,True
INV002010,6,74.6,103.0,True
INV002017,7,44.7,99.0,True
INV002018,6,63.6,106.0,True
INV002019,6,68.8,117.0,True
INV002025,7,55.8,92.0,True
INV002033,7,55.0,123.0,True
INV002034,8,69.0,166.0,True
INV002037,6,33.2,61.0,True
INV002038,6,84.0,202.0,True
INV002051,6,78.6,159.0,True
INV002052,7,44.2,114.0,True
INV002069,10,47.6,95.0,True
INV002070,7,81.3,118.0,True
INV002083,10,51.7,193.0,True
INV002085,6,65.0,220.0,True
INV002090,6,90.2,231.0,True
INV002092,7,33.5,54.0,True
INV002101,6,80.2,248.0,True
INV002102,6,44.8,63.0,True
INV002107,8,71.1,298.0,True
INV002111,8,62.4,123.0,True
INV002119,6,78.0,195.0,True
INV002121,7,68.5,197.0,True
INV002122,7,40.3,97.0,True
INV002127,6,60.2,113.0,True
INV002134,7,82.7,180.0,True
INV002138,6,91.8,189.0,True
INV002142,9,45.5,162.0,True
INV002143,8,63.6,148.0,True
INV002149,8,42.3,215.0,True
INV002150,6,73.6,216.0,True
INV002151,9,60.4,201.0,True
INV002153,7,67.8,194.0,True
INV002154,6,89.4,175.0,True
INV002155,6,78.0,190.0,True
INV002157,7,58.5,142.0,True
INV002159,6,65.0,104.0,True
INV002162,9,58.4,198.0,True
INV002166,6,99.2,248.0,True
INV002171,7,55.8,150.0,True
INV002177,7,73.0,330.0,True
INV002178,8,66.4,236.0,True
INV002179,8,54.1,171.0,True
INV002182,7,70.5,148.0,True
INV002185,6,48.4,92.0,True
INV002186,7,74.8,167.0,True
INV002187,7,67.8,221.0,True
INV002195,9,49.2,154.0,True
INV002196,8,62.1,115.0,True
INV002198,9,43.0,93.0,True
INV002199,7,50.8,94.0,True
INV002202,8,70.4,276.0,True
INV002206,7,49.0,141.0,True
INV002208,7,71.3,142.0,True
INV002211,7,63.8,109.0,True
INV002216,8,61.7,172.0,True
INV002218,6,67.8,181.0,True
INV002219,8,70.9,166.0,True
INV002228,6,68.6,109.0,True
INV002229,6,64.6,101.0,True
INV002230,8,57.6,171.0,True
INV002232,7,69.2,174.0,True
INV002236,7,73.7,119.0,True
INV002237,7,51.7,142.0,True
INV002240,7,77.8,266.0,True
INV002241,7,65.7,124.0,True
INV002251,6,62.6,157.0,True
INV002256,6,75.6,115.0,True
INV002259,7,45.3,89.0,True
INV002260,6,77.8,235.0,True
INV002265,7,63.2,244.0,True
INV002277,7,67.3,127.0,True
INV002280,7,71.7,182.0,True
INV002282,6,53.2,102.0,True
INV002284,6,85.0,277.0,True
INV002290,6,61.6,112.0,True
INV002294,8,48.7,163.0,True
INV002295,7,64.5,159.0,True
INV002298,6,23.2,37.0,True
INV002304,10,42.6,104.0,True
INV002315,7,71.8,174.0,True
INV002319,7,60.0,123.0,True
INV002322,6,63.4,102.0,True
INV002327,6,76.4,215.0,True
INV002329,7,57.0,183.0,True
INV002342,6,74.2,212.0,True
INV002343,9,57.8,115.0,True
INV002347,9,40.5,79.0,True
INV002348,6,94.4,166.0,True
INV002349,6,52.2,75.0,True
INV002351,6,77.2,204.0,True
INV002357,7,68.3,240.0,True
INV002360,9,56.1,129.0,True
INV002361,6,55.4,198.0,True
INV002367,7,52.5,134.0,True
INV002368,7,61.2,215.0,True
INV002369,6,60.0,136.0,True
INV002370,7,70.2,237.0,True
INV002372,6,95.2,133.0,True
INV002373,8,70.1,154.0,True
INV002374,6,21.2,34.0,False
INV002384,10,39.1,92.0,True
INV002388,6,33.2,84.0,True
INV002389,10,50.8,126.0,True
INV002390,6,47.0,100.0,True
INV002391,6,40.2,124.0,True
INV002395,6,97.0,225.0,True
INV002400,9,55.4,141.0,True
INV002401,8,59.1,125.0,True
INV002402,7,47.2,89.0,True
INV002407,7,47.8,167.0,True
INV002409,8,55.6,125.0,True
INV002413,8,53.0,189.0,True
INV002415,8,57.4,110.0,True
INV002417,7,83.3,190.0,True
INV002418,6,91.6,128.0,True
INV002420,6,72.8,107.0,True
INV002422,10,50.3,139.0,True
INV002429,6,78.6,216.0,True
INV002434,6,88.2,217.0,True
INV002437,7,49.2,212.0,True
INV002445,8,38.1,117.0,True
INV002453,7,63.0,87.0,True
INV002458,6,72.4,232.0,True
INV002459,8,53.7,161.0,True
INV002463,6,95.4,236.0,True
INV002464,6,35.4,97.0,True
INV002466,7,80.7,270.0,True
INV002467,8,38.9,116.0,True
INV002471,6,56.4,98.0,True
INV002475,10,49.7,119.0,True
INV002476,6,86.0,235.0,True
INV002485,6,70.4,136.0,True
INV002490,8,70.0,125.0,True
INV002495,6,82.2,174.0,True
INV002496,6,53.0,156.0,True
INV002497,8,67.3,152.0,True
INV002508,9,51.6,171.0,True
INV002509,10,33.7,74.0,True
INV002510,7,64.3,176.0,True
INV002521,6,74.6,206.0,True
INV002527,7,49.7,93.0,True
INV002530,8,71.4,175.0,True
INV002531,7,76.3,182.0,True
INV002543,7,74.7,116.0,True
INV002547,6,89.0,181.0,True
INV002552,10,48.2,184.0,True
INV002554,7,49.7,100.0,True
INV002555,7,72.0,172.0,True
INV002557,7,67.2,264.0,True
INV002558,6,97.6,297.0,True
INV002560,6,95.2,155.0,True
INV002563,6,65.8,114.0,True
INV002567,6,82.0,127.0,True
INV002568,8,61.6,144.0,True
INV002570,7,62.0,150.0,True
INV002572,8,55.7,108.0,True
INV002574,6,79.4,139.0,True
INV002575,9,56.1,128.0,True
INV002579,6,40.8,71.0,True
INV002582,6,77.4,173.0,True
INV002585,6,65.0,124.0,True
INV002586,6,87.2,168.0,True
INV002590,10,50.2,125.0,True
INV002591,6,52.2,139.0,True
INV002594,6,94.0,244.0,True
INV002598,9,51.4,179.0,True
INV002602,8,66.0,151.0,True
INV002606,6,89.6,248.0,True
INV002613,8,65.0,143.0,True
INV002622,7,76.7,244.0,True
INV002627,6,85.0,182.0,True
INV002628,6,77.0,322.0,True
INV002632,8,65.6,180.0,True
INV002640,7,70.0,153.0,True
INV002643,6,74.2,229.0,True
INV002645,7,45.2,133.0,True
INV002654,8,61.9,115.0,True
INV002659,7,62.3,224.0,True
INV002666,7,53.2,100.0,True
INV002671,7,77.2,163.0,True
INV002673,8,65.0,147.0,True
INV002674,6,75.8,153.0,True
INV002675,8,63.9,138.0,True
INV002681,7,83.7,161.0,True
INV002684,6,80.6,266.0,True
INV002688,9,37.0,122.0,True
INV002689,8,50.0,115.0,True
INV002693,7,45.8,72.0,True
INV002697,7,55.3,199.0,True
INV002700,7,79.8,140.0,True
INV002704,8,59.1,139.0,True
INV002705,8,22.6,70.0,True
INV002706,6,73.6,133.0,True
INV002711,8,65.6,230.0,True
INV002712,11,46.8,174.0,True
INV002722,6,61.4,178.0,True
INV002723,9,37.8,102.0,True
INV002724,6,76.6,187.0,True
INV002726,8,45.6,84.0,True
INV002732,8,70.7,151.0,True
INV002733,8,51.6,150.0,True
INV002735,7,68.2,136.0,True
INV002736,6,70.6,323.0,True
INV002737,8,58.4,104.0,True
INV002743,6,88.2,190.0,True
INV002744,10,52.9,139.0,True
INV002746,8,68.0,206.0,True
INV002750,6,72.4,254.0,True
INV002751,7,41.5,102.0,True
INV002758,6,81.0,263.0,True
INV002761,6,80.6,312.0,True
INV002766,6,70.6,151.0,True
INV002767,7,55.3,145.0,True
INV002769,7,82.0,141.0,True
INV002772,7,74.5,168.0,True
INV002779,6,64.2,151.0,True
INV002783,7,64.0,126.0,True
INV002786,7,76.3,124.0,True
INV002793,7,59.3,125.0,True
INV002794,7,56.2,111.0,True
INV002799,6,70.8,129.0,True
INV002800,7,63.5,108.0,True
INV002803,7,64.8,176.0,True
INV002804,8,59.9,209.0,True
INV002808,7,59.7,120.0,True
INV002809,6,81.4,276.0,True
INV002810,8,32.3,139.0,True
INV002813,7,49.0,149.0,True
INV002822,7,53.0,108.0,True
INV002824,7,71.8,223.0,True
INV002826,6,61.6,91.0,True
INV002827,6,73.6,200.0,True
INV002828,6,80.0,211.0,True
INV002831,6,40.2,72.0,True
INV002835,7,82.3,233.0,True
INV002838,8,56.7,116.0,True
INV002841,6,43.4,102.0,True
INV002843,8,43.1,128.0,True
INV002847,10,52.7,129.0,True
INV002850,7,53.2,166.0,True
INV002852,6,75.8,207.0,True
INV002859,7,76.5,198.0,True
INV002863,6,74.4,199.0,True
INV002865,6,37.2,50.0,True
INV002870,6,48.2,109.0,True
INV002872,6,85.6,199.0,True
INV002873,6,98.2,235.0,True
INV002879,7,72.2,125.0,True
INV002881,6,43.6,110.0,True
INV002883,6,96.0,176.0,True
INV002886,7,44.3,137.0,True
INV002891,8,72.7,166.0,True
INV002893,9,50.0,148.0,True
INV002900,6,64.2,136.0,True
INV002903,6,89.6,176.0,True
INV002904,7,49.3,104.0,True
INV002905,6,73.0,221.0,True
INV002906,6,41.2,74.0,True
INV002909,7,82.3,263.0,True
INV002912,6,97.0,342.0,True
INV002913,7,73.7,168.0,True
INV002915,8,49.3,117.0,True
INV002921,7,53.3,121.0,True
INV002927,8,40.3,79.0,True
INV002935,7,48.0,72.0,True
INV002937,7,67.2,184.0,True
INV002939,7,60.5,127.0,True
INV002942,9,55.5,180.0,True
INV002945,8,65.0,139.0,True
INV002947,7,64.2,152.0,True
INV002950,8,45.9,119.0,True
INV002951,7,51.8,82.0,True
INV002961,7,84.7,231.0,True
INV002974,7,51.3,105.0,True
INV002984,6,91.0,200.0,True
INV002989,6,86.6,182.0,True
INV002994,7,58.2,142.0,True
INV003000,7,67.0,137.0,True
INV003003,9,58.2,100.0,True
INV003005,8,53.1,107.0,True
INV003007,9,48.2,162.0,True
