,Overall_Rank,Category,Fund_Score,CAGR_3yr,Sharpe,Alpha,Expense_Ratio,Max_Drawdown
DSP Top 100 Equity Fund - Regular - Growth,16,Equity,58.8125,0.1803973982038829,0.4640374492204777,0.13173190226099432,1.54,-0.14844576917771746
UTI Flexi Cap Fund - Regular - Growth,17,Equity,56.3125,0.25549670172502026,0.6195175900829828,0.16211256794033255,1.64,-0.21539827112383225
Axis Bluechip Fund - Direct - Growth,18,Equity,54.875,0.20811559826631898,0.12961449795669325,0.08232801295222093,0.75,-0.21751396370148224
ICICI Pru Liquid Fund - Regular - Growth,19,Debt,54.5,0.07392538786263403,0.4957233929533124,0.06746210411099539,0.74,-0.0009773140045925555
ICICI Pru Value Discovery Fund - Regular - Growth,20,Equity,51.375,0.18417429266835228,0.6488787755249532,0.1625385327998104,1.41,-0.1982565826298267
Mirae Asset Emerging Bluechip Fund - Regular - Growth,21,Equity,49.0625,0.14744434832760533,0.9262873467360146,0.20873010086942337,1.52,-0.1527259422823477
ICICI Pru Bluechip Fund - Regular - Growth,22,Equity,48.875,0.13974980348212673,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635
UTI Nifty 50 Index Fund - Regular - Growth,23,Equity,47.5,0.19662361245910964,0.8170993373494368,0.17048756803412696,1.57,-0.1085986215250232
Nippon India Large Cap Fund - Direct - Growth,24,Equity,43.9375,0.21084691029380598,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511
Nippon India ETF Nifty 50 BeES,25,Equity,43.5,0.2000321571698329,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909
HDFC Top 100 Fund - Direct Plan - Growth,26,Equity,43.25,0.18429918008610047,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398
SBI Bluechip Fund - Direct Plan - Growth,27,Equity,36.5,0.16263375081360643,0.9532794968660103,0.1986859936686296,0.66,-0.11803493502764295
Nippon India Large Cap Fund - Regular - Growth,28,Equity,35.9375,0.22646647456747715,1.0816591793457044,0.21829397904608644,1.51,-0.17414075086657232
DSP Small Cap Fund - Regular - Growth,29,Equity,35.8125,0.2699350260734621,0.9497958246616031,0.3005787817097677,1.52,-0.31171900300634214
DSP Midcap Fund - Regular - Growth,30,Equity,35.75,0.26863103668817145,1.1321218524747245,0.26598577542043045,1.61,-0.17248105753451382
SBI Small Cap Fund - Regular Plan - Growth,31,Equity,35.125,0.2666309129954312,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455
ABSL Frontline Equity Fund - Regular - Growth,32,Equity,34.3125,0.28960211096593724,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073
Mirae Asset Tax Saver Fund - Regular - Growth,33,Equity,28.8125,0.2917135767741186,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263
SBI Bluechip Fund - Regular Plan - Growth,34,Equity,27.6875,0.3044861306002782,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533
Axis Midcap Fund - Regular - Growth,35,Equity,25.5,0.35102527889035406,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192
ICICI Pru Bluechip Fund - Direct - Growth,36,Equity,22.5,0.32478927222623,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517
HDFC Mid-Cap Opportunities Fund - Regular - Growth,37,Equity,21.75,0.3243397122906222,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848
Kotak Flexicap Fund - Regular - Growth,38,Equity,20.5,0.2957511058901836,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679
ICICI Pru Midcap Fund - Regular - Growth,39,Equity,20.25,0.3176924285223732,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294
Mirae Asset Large Cap Fund - Regular - Growth,40,Equity,16.25,0.33991970400445304,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275
